Year ending December,Postcode,Incidents Recorded
2010,3108,1071.0
2010,3109,560.0
2010,3111,181.0
2010,3113,141.0
2010,3114,42.0
2010,3115,82.0
2010,3116,398.0
2010,3121,3659.0
2010,3122,1404.0
2010,3123,426.0
2010,3124,830.0
2010,3125,441.0
2010,3126,217.0
2010,3127,458.0
2010,3128,1306.0
2010,3129,281.0
2010,3130,796.0
2010,3131,988.0
2010,3132,497.0
2010,3133,424.0
2010,3134,2523.0
2010,3135,672.0
2010,3136,1626.0
2010,3137,487.0
2010,3138,755.0
2010,3139,336.0
2010,3140,858.0
2010,3141,1783.0
2010,3142,569.0
2010,3143,400.0
2010,3144,755.0
2010,3145,1552.0
2010,3146,526.0
2010,3147,478.0
2010,3148,618.0
2010,3149,947.0
2010,3150,1917.0
2010,3151,335.0
2010,3152,1612.0
2010,3153,1025.0
2010,3154,141.0
2010,3155,1122.0
2010,3156,1553.0
2010,3158,232.0
2010,3159,87.0
2010,3160,392.0
2010,3161,622.0
2010,3162,568.0
2010,3163,991.0
2010,3165,628.0
2010,3166,1135.0
2010,3167,300.0
2010,3168,1313.0
2010,3169,615.0
2010,3170,819.0
2010,3171,1426.0
2010,3172,673.0
2010,3173,1095.0
2010,3174,1903.0
2010,3175,6110.0
2010,3177,602.0
2010,3178,988.0
2010,3179,214.0
2010,3180,227.0
2010,3181,2760.0
2010,3182,3813.0
2010,3183,761.0
2010,3184,661.0
2010,3185,731.0
2010,3186,926.0
2010,3187,416.0
2010,3188,581.0
2010,3189,750.0
2010,3190,395.0
2010,3191,303.0
2010,3192,1493.0
2010,3193,400.0
2010,3194,582.0
2010,3195,1334.0
2010,3196,1025.0
2010,3197,469.0
2010,3198,1264.0
2010,3199,5809.0
2010,3200,474.0
2010,3201,949.0
2010,3202,49.0
2010,3204,1051.0
2010,3205,1583.0
2010,3206,589.0
2010,3207,1159.0
2010,3211,51.0
2010,3212,455.0
2010,3213,117.0
2010,3214,2479.0
2010,3215,952.0
2010,3216,1963.0
2010,3217,17.0
2010,3218,592.0
2010,3219,1131.0
2010,3220,3032.0
2010,3221,219.0
2010,3222,256.0
2010,3223,196.0
2010,3224,172.0
2010,3225,107.0
2010,3226,373.0
2010,3227,186.0
2010,3228,588.0
2010,3230,130.0
2010,3231,34.0
2010,3232,143.0
2010,3233,159.0
2010,3234,10.0
2010,3235,1.0
2010,3236,5.0
2010,3237,10.0
2010,3238,9.0
2010,3239,15.0
2010,3240,30.0
2010,3241,98.0
2010,3242,29.0
2010,3243,6.0
2010,3249,54.0
2010,3250,759.0
2010,3251,15.0
2010,3254,1.0
2010,3260,196.0
2010,3264,105.0
2010,3265,54.0
2010,3266,80.0
2010,3267,6.0
2010,3268,44.0
2010,3269,30.0
2010,3270,12.0
2010,3271,5.0
2010,3272,63.0
2010,3273,10.0
2010,3274,2.0
2010,3276,3.0
2010,3277,40.0
2010,3278,5.0
2010,3279,4.0
2010,3280,1979.0
2010,3281,6.0
2010,3282,62.0
2010,3283,29.0
2010,3284,221.0
2010,3285,20.0
2010,3286,10.0
2010,3287,6.0
2010,3289,16.0
2010,3292,7.0
2010,3293,6.0
2010,3294,13.0
2010,3300,622.0
2010,3301,9.0
2010,3302,7.0
2010,3303,9.0
2010,3304,125.0
2010,3305,940.0
2010,3309,2.0
2010,3310,14.0
2010,3311,53.0
2010,3312,26.0
2010,3314,4.0
2010,3315,58.0
2010,3317,5.0
2010,3318,36.0
2010,3319,1.0
2010,3321,17.0
2010,3322,6.0
2010,3323,1.0
2010,3324,32.0
2010,3325,8.0
2010,3328,14.0
2010,3329,5.0
2010,3330,5.0
2010,3331,68.0
2010,3332,9.0
2010,3333,29.0
2010,3334,9.0
2010,3335,173.0
2010,3337,2168.0
2010,3338,842.0
2010,3340,822.0
2010,3341,20.0
2010,3342,93.0
2010,3345,29.0
2010,3350,5367.0
2010,3351,184.0
2010,3352,318.0
2010,3354,1.0
2010,3355,1222.0
2010,3356,1075.0
2010,3357,91.0
2010,3360,19.0
2010,3361,15.0
2010,3363,138.0
2010,3364,40.0
2010,3370,57.0
2010,3371,25.0
2010,3373,107.0
2010,3375,6.0
2010,3377,721.0
2010,3378,4.0
2010,3379,30.0
2010,3380,555.0
2010,3381,47.0
2010,3384,19.0
2010,3385,16.0
2010,3387,10.0
2010,3388,17.0
2010,3390,39.0
2010,3391,5.0
2010,3392,25.0
2010,3393,132.0
2010,3395,20.0
2010,3396,9.0
2010,3399,1.0
2010,3400,1371.0
2010,3401,77.0
2010,3407,13.0
2010,3409,4.0
2010,3412,11.0
2010,3413,1.0
2010,3414,59.0
2010,3415,1.0
2010,3418,75.0
2010,3419,17.0
2010,3420,2.0
2010,3422,2.0
2010,3423,20.0
2010,3424,16.0
2010,3427,89.0
2010,3428,38.0
2010,3429,1515.0
2010,3430,11.0
2010,3431,81.0
2010,3432,7.0
2010,3433,9.0
2010,3434,121.0
2010,3435,51.0
2010,3437,323.0
2010,3438,54.0
2010,3440,61.0
2010,3441,17.0
2010,3442,166.0
2010,3444,377.0
2010,3446,39.0
2010,3447,15.0
2010,3448,13.0
2010,3450,465.0
2010,3451,89.0
2010,3453,18.0
2010,3458,47.0
2010,3460,187.0
2010,3461,76.0
2010,3462,12.0
2010,3463,63.0
2010,3464,35.0
2010,3465,659.0
2010,3467,35.0
2010,3468,4.0
2010,3469,13.0
2010,3472,80.0
2010,3475,12.0
2010,3477,1.0
2010,3478,179.0
